Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),Vibration (g),App message,
0,,,,,0,0.03125,-0.998046875,,,22.912407138324944,0.012792914104343467,0,0,0.2931164564443371,,0,,,0.0625,,
0,,,,,0,0.021484375,-0.98828125,-0.002896346420775259,0.01135373340873392,22.912456517978292,0.012593202577882323,0,0,0.2885412064878209,0,0,0,0,0.0625,,
0.03060499999951571,,,,,0,0.01171875,-0.982421875,,,22.911989614759612,0.013107941786778099,0,0,0.3003290260895334,,0,,,0.0625,,
0.05511500000022352,,,,,0,0.01953125,-0.98828125,,,22.912301621322214,0.013931114184224214,0,0,0.31919389011002536,,0,,,0.0625,,
0.08021499999985099,,,,,0,0.015625,-0.986328125,,,22.912321507328322,0.013553224059890567,0,0,0.3105358271210703,,0,,,0.0625,,
0.10237499999906868,,,,,0,0.02734375,-0.99609375,,,22.912278108940523,0.012524677361659187,0,0,0.2869688909350867,,0,,,0.064453125,,
0.12871999999973924,,,,,0,0,-0.96875,,,22.912508412194377,0.014207628422365559,0,0,0.3255324057447828,,0,,,0.064453125,,
0.1509099999992177,,,,,0,0.01953125,-0.98828125,-0.0027165280804431484,0.011304107941909693,22.912702467172743,0.016249867065585732,0,0,0.37232836920487533,0,0,0,0,0.064453125,,
0.1783649999992922,,,,,0,0.01171875,-0.982421875,,,22.912732333099108,0.018997494533362413,0,0,0.4352845072424465,,0,,,0.064453125,,
0.20173499999940395,,,,,0,0.02734375,-0.998046875,,,22.9125831387599,0.018983923855632412,0,0,0.434970733642065,,0,,,0.064453125,,
0.23133999999891966,,,,,0,0.029296875,-0.998046875,,,22.912892137557666,0.016944063031132828,0,0,0.3882374886043249,,0,,,0.064453125,,
0.2531650000000373,,,,,0,0.015625,-0.986328125,,,22.91277169468401,0.014404217955195975,0,0,0.33004055744787353,,0,,,0.064453125,,
0.2790149999996647,,,,,0,0.02734375,-0.99609375,,,22.912806092406186,0.012451730449051013,0,0,0.28530408529401563,,0,,,0.064453125,,
0.30027999999932947,,,,,0,0.02734375,-0.998046875,-0.002642650315551549,0.009301840044926828,22.912260614774418,0.01274823100715139,0,0,0.2920907912132008,0,0,0,0,0.0625,,
0.32859999999962747,,,,,0,0.015625,-0.98828125,,,22.912137197224798,0.014083827690253514,0,0,0.32269059230116215,,0,,,0.0625,,
0.3503249999992549,,,,,0,0.025390625,-0.99609375,,,22.912166260192752,0.011148645225119935,0,0,0.255439612973852,,0,,,0.0625,,
0.3781650000000373,,,,,0,0.01171875,-0.984375,,,22.91237983357518,0.01193847989411978,0,0,0.2735389859695728,,0,,,0.0625,,
0.4023300000000745,,,,,0,0.029296875,-0.99609375,,,22.9122827039214,0.010756775550891717,0,0,0.24646228240466087,,0,,,0.0625,,
0.4289449999993667,,,,,0,0.029296875,-0.99609375,,,22.911875268693237,0.007529098757178332,0,0,0.17250577161014322,,0,,,0.0625,,
0.4510099999997765,,,,,0,0.01953125,-0.990234375,-0.0026117462641323205,0.008464284071820616,22.912064421279922,0.011002952174861136,0,0,0.2521003490546804,0,0,0,0,0.0625,,
0.4781150000002235,,,,,0,0.013671875,-0.984375,,,22.912400967041364,0.010357640617613129,0,0,0.23731841490326597,,0,,,0.0625,,
0.500769999999553,,,,,0,0.01953125,-0.98828125,,,22.912560088362888,0.007880000910681417,0,0,0.18055099436234226,,0,,,0.064453125,,
0.5294349999995902,,,,,0,0.015625,-0.984375,,,22.912221623322846,0.009898489255119713,0,0,0.22679637954938275,,0,,,0.0625,,
0.5530899999989196,,,,,0,0.02734375,-0.998046875,,,22.912005415160237,0.010143455462721107,0,0,0.2324069064903027,,0,,,0.0625,,
0.5783700000001117,,,,,0,0.015625,-0.984375,,,22.912623511004877,0.010419392160649465,0,0,0.23873560979047687,,0,,,0.0625,,
0.6005849999999627,,,,,0,0.03125,-1,-0.002623449713451503,0.007968791344998458,22.912020819066527,0.011559870918722126,0,0,0.264860003155483,0,0,0,0,0.0625,,
0.6278449999997392,,,,,0,0.03125,-0.99609375,,,22.912227226252327,0.013664566865626782,0,0,0.3130856609735594,,0,,,0.0625,,
0.655160000000149,,,,,0,0.015625,-0.986328125,,,22.912592423947558,0.01085454054922863,0,0,0.24870566355368748,,0,,,0.0625,,
0.6782400000002236,,,,,0,0.01953125,-0.98828125,,,22.912453476431455,0.01041655829000554,0,0,0.23866890720428832,,0,,,0.0625,,
0.7003100000005216,,,,,0,0.01171875,-0.982421875,,,22.912683524376753,0.010895136311367182,0,0,0.24963681025730172,,0,,,0.0625,,
0.7269099999992177,,,,,0,0.029296875,-0.99609375,,,22.913100128307413,0.012513520885354623,0,0,0.2867235570037965,,0,,,0.0625,,
0.7501549999993294,,,,,0,0.015625,-0.986328125,-0.0025741615208327443,0.009938917009702036,22.913134145423474,0.014308476551331495,0,0,0.3278520426373048,0,0,0,0,0.0625,,
0.7764349999995902,,,,,0,0.00390625,-0.974609375,,,22.91350193655485,0.012738701148636622,0,0,0.29188825343847874,,0,,,0.064453125,,
0.8002649999996647,,,,,0,0.029296875,-1,,,22.913546126497746,0.013511656724277898,0,0,0.3095999695971451,,0,,,0.064453125,,
0.8253300000000745,,,,,0,0.013671875,-0.984375,,,22.913539672228044,0.015424505470610583,0,0,0.3534300180253341,,0,,,0.064453125,,
0.852304999999702,,,,,0,0.015625,-0.986328125,,,22.913577097611498,0.01746907895020655,0,0,0.40027908734981993,,0,,,0.064453125,,
0.8810400000000372,,,,,0,0.025390625,-0.99609375,,,22.913844367454722,0.021050939525153467,0,0,0.48235795206806775,,0,,,0.064453125,,
0.904109999999404,,,,,0,0.017578125,-0.98828125,-0.0025616106517785367,0.003502825676096503,22.913753820428155,0.01938729566206021,0,0,0.44423572004430234,0,0,0,0,0.064453125,,
0.9285249999994412,,,,,0,0.03125,-0.99609375,,,22.913757592466432,0.01801064190534163,0,0,0.4126914827037158,,0,,,0.064453125,,
0.9506249999990687,,,,,0,0.029296875,-0.998046875,,,22.913645022055466,0.02116144643839668,0,0,0.48488587184266146,,0,,,0.0625,,
0.9757849999992176,,,,,0,0.001953125,-0.97265625,,,22.9136969376363,0.0240968006733695,0,0,0.5521467877962191,,0,,,0.064453125,,
1.00425,,,,,0,0.029296875,-0.998046875,,,22.913812144939456,0.023585937795617795,0,0,0.5404437479110136,,0,,,0.064453125,,
1.0325599999995903,,,,,0,0.017578125,-0.98828125,,,22.914093041019562,0.02532524879248932,0,0,0.5803051071180686,,0,,,0.064453125,,
1.054535000000149,,,,,0,0.029296875,-0.998046875,-0.002556557042017848,0.007485718871988229,22.913970589906977,0.024727715598189093,0,0,0.5666101479724889,0,0,0,0,0.064453125,,
1.078625,,,,,0,0.029296875,-0.998046875,,,22.914255632536197,0.023336246800766958,0,0,0.5347327246967291,,0,,,0.0625,,
1.101125,,,,,0,0.029296875,-0.99609375,,,22.914251287412647,0.02039837616962359,0,0,0.4674135174059248,,0,,,0.0625,,
1.1262449999991804,,,,,0,0.029296875,-1,,,22.91406916525207,0.020481769680882778,0,0,0.46932068709451075,,0,,,0.0625,,
1.1507900000000373,,,,,0,0.001953125,-0.97265625,,,22.91417355423043,0.01711454742424401,0,0,0.3921657099812346,,0,,,0.0625,,
1.1776949999993667,,,,,0,0.029296875,-0.998046875,,,22.91376777794061,0.012608547531183234,0,0,0.28890933014665904,,0,,,0.0625,,
1.2025149999996647,,,,,0,0.029296875,-0.99609375,-0.0026470727450045744,0.003997885492230439,22.91376945981049,0.012222852045599808,0,0,0.28007161391424706,0,0,0,0,0.0625,,
1.2279599999999626,,,,,0,0.02734375,-0.998046875,,,22.913306105024397,0.01318170407363084,0,0,0.3020364204249505,,0,,,0.0625,,
1.250820000000298,,,,,0,0.02734375,-0.99609375,,,22.91323860859046,0.01195878788424487,0,0,0.2740145602612234,,0,,,0.0625,,
1.2758199999993667,,,,,0,0.02734375,-0.99609375,,,22.913276799978284,0.013975441888758766,0,0,0.32022316839914094,,0,,,0.0625,,
1.299964999999851,,,,,0,0.00390625,-0.974609375,,,22.913266329903827,0.014134723591311626,0,0,0.323872686147298,,0,,,0.0625,,
1.3251949999993666,,,,,0,0.02734375,-0.99609375,,,22.913341505284794,0.017621638153389796,0,0,0.4037706128911765,,0,,,0.0625,,
1.3501150000002236,,,,,0,0.02734375,-0.998046875,-0.002737269716970621,0.004687656144297522,22.913340679974066,0.016274643294753588,0,0,0.37290644625774455,0,0,0,0,0.0625,,
1.3769699999997391,,,,,0,0.015625,-0.98828125,,,22.913671228064977,0.01600911907198821,0,0,0.3668276910664825,,0,,,0.0625,,
1.4001499999994411,,,,,0,0.015625,-0.986328125,,,22.913488284160003,0.014191961867995317,0,0,0.32518735199155624,,0,,,0.0625,,
