Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),Vibration (g),App message,
0,,,,,-0.08203125,0.38671875,-0.837890625,-0.026709929483675954,,22.97269963562479,0.021672289370851416,3687,0,0.4978709941329133,13.983592273260506,2808.67783784315,0.11436345079200982,3.2121008969878364,2.16015625,,
0,,,,,-0.203125,0.08203125,-1.044921875,,,22.973142287477312,0.025289104852941335,3687,0,0.5809702041095544,,2406.716509674221,,,2.177734375,,
0.02231500000040978,,,,,0.01953125,0.09765625,-1.021484375,,,22.973411160468146,0.026766030694099996,3688,0,0.6149070282692698,,2274.4986589627656,,,2.1796875,,
0.051884999999776485,,,,,0.15625,-0.0625,-1.18359375,,-1.6025792649035557,22.97393304927639,0.025511748479761565,3688,0,0.5861052015440209,,2386.286043819559,,2.734286030360695,2.171875,,
0.07416500000003726,,,,,-0.25,0.056640625,-0.765625,,,22.974294013270868,0.02320521855865465,3692,0,0.5331235138087416,,2626.1172379756763,,,2.173828125,,
0.10197000000067055,,,,,0.736328125,-0.380859375,-1.0390625,,,22.9746336825076,0.023236874115616146,3693,0,0.5338586707328238,,2623.007562886678,,,2.171875,,
0.12393500000052154,,,,,-1.099609375,0.279296875,-0.806640625,-0.02758647688011204,,22.97460203526771,0.022930485521818866,3693,0,0.5268187793392565,14.466073653423175,2745.9297619509175,0.11078190968040108,3.041993428771718,2.177734375,,
0.15292500000074505,,,,,1.07421875,-0.021484375,-1.16015625,,,22.975002229576656,0.02165333759844401,3695,0,0.4974854796020272,,2909.2284486430854,,,2.1796875,,
0.1745550000006333,,,,,-0.822265625,0.263671875,-0.8203125,,,22.975498366370065,0.023557563100807144,3695,0,0.5412467525382543,,2673.8782963202116,,,2.1953125,,
0.21859500000067056,,,,,0.609375,-0.02734375,-1.072265625,,-1.608250741824608,22.975894303442516,0.02192801606527084,3696,0,0.5038157793998522,,2873.464150881616,,3.1921404759103886,2.193359375,,
0.23967500000074507,,,,,-0.08984375,0.1015625,-1.1171875,,,22.976062320859835,0.022866284516734225,3699,0,0.5253771781029979,,2757.645790713638,,,2.185546875,,
0.2620700000012293,,,,,1.09375,-0.130859375,-1.2421875,,,22.976054642931587,0.024833210336829836,3699,0,0.5705691976584158,,2539.205468486663,,,2.201171875,,
0.28411000000126657,,,,,-0.8125,-0.23828125,-1.02734375,-0.02635178482390649,,22.976182134394424,0.02354554370323214,3700,0,0.5409867005788055,13.843698425356411,2558.9720432211993,0.11617204394447814,2.972810126577842,2.205078125,,
0.3055800000010058,,,,,0.662109375,0.103515625,-0.8046875,,,22.976287451500887,0.02290048658162469,3701,0,0.5261681624786478,,2631.8854985223293,,,2.1875,,
